trade_date,high,low,close,pct_chg
20110210,3105.32,3024.35,3104.16,2.08
20110209,3087.55,3031.75,3040.95,-1.18
20110201,3087.23,3062.83,3077.28,0.03
20110131,3076.55,3032.45,3076.51,1.31
20110128,3047.27,3011.38,3036.74,0.34
20110127,3037.16,2935.27,3026.47,1.61
20110126,2982.32,2939.36,2978.43,1.35
20110125,2960.59,2919.16,2938.65,-0.53
20110124,2999.2,2943.92,2954.23,-0.98
20110121,3030.27,2935.14,2983.46,1.32
20110120,3037.86,2944.5,2944.71,-3.29
20110119,3045.61,2967.24,3044.85,2.26
20110118,2984.47,2947.6,2977.65,0.11
20110117,3078.88,2968.61,2974.35,-3.8
20110114,3129.67,3083.51,3091.86,-1.57
20110113,3157.04,3127.16,3141.28,-0.03
20110112,3153.43,3099.41,3142.34,0.56
20110111,3131.29,3084.51,3124.92,0.54
20110110,3182.78,3102.43,3108.19,-1.85
20110107,3209.9,3141.13,3166.62,0.22
20110106,3198.05,3152.57,3159.64,-0.5
20110105,3193.78,3158.87,3175.66,-0.44
20110104,3194.36,3143.6,3189.68,1.96
20101231,3129.45,3067.11,3128.26,2.09
20101230,3079.91,3027.9,3064.1,0.07
20101229,3062.56,3025.22,3061.83,0.55
20101228,3095.36,3041.33,3044.93,-1.77
20101227,3219.66,3092.26,3099.71,-2
20101224,3187.72,3139.45,3162.96,-0.8
20101223,3237.64,3183.15,3188.61,-0.83
20101222,3263.45,3201.67,3215.45,-1.05
20101221,3251.55,3168.89,3249.51,2.23
20101220,3249.76,3118,3178.66,-1.46
20101217,3232.84,3212.58,3225.66,-0.15
20101216,3258.39,3224.12,3230.67,-0.52
20101215,3282.77,3242.52,3247.64,-0.67
20101214,3279.37,3254.18,3269.47,0.26
20101213,3261.34,3173.56,3261.06,3.13
20101210,3172.16,3101.08,3161.98,1.24
20101209,3175.05,3122.2,3123.37,-1.53
20101208,3215.28,3166.77,3171.88,-0.89
20101207,3214.69,3112.22,3200.34,1.1
20101206,3185.33,3140.56,3165.57,0.23
20101203,3171.38,3134.42,3158.16,0.1
20101202,3194.23,3154.32,3155.06,0.61
20101201,3150.44,3111.65,3136.02,-0.03
20101130,3205.78,3060.44,3136.99,-1.66
20101129,3206.76,3159.46,3190.05,-0.15
20101126,3224.52,3170.36,3194.85,-0.89
20101125,3227.05,3172.28,3223.48,1.46
20101124,3177.41,3088.99,3177.04,2.25
20101123,3156.48,3061.62,3107.18,-2.04
20101122,3200.47,3137.75,3171.94,-0.22
20101119,3178.85,3076.21,3178.85,0.98
20101118,3158.63,3097.39,3147.96,1.42
20101117,3168.93,3087.51,3103.91,-2.07
20101116,3311.62,3155.48,3169.54,-4.38
20101115,3319.98,3241.76,3314.89,0.7
20101112,3497.06,3284.35,3291.83,-6.21
20101111,3557.99,3484.89,3509.98,0.31
20101110,3508.28,3470.97,3499.11,-0.7
20101109,3547.44,3498.62,3523.95,-0.69
20101108,3549.31,3506.38,3548.57,0.79
20101105,3554.47,3498.28,3520.8,1.16
20101104,3480.93,3419.64,3480.51,1.76
20101103,3474.71,3419.08,3420.34,-1.24
20101102,3522.18,3449.72,3463.13,-0.28
20101101,3473,3390.41,3473,2.75
20101029,3404.6,3351.6,3379.98,-0.52
20101028,3420.89,3371.44,3397.69,-0.18
20101027,3490.22,3398.1,3403.87,-1.79
20101026,3499.82,3436.46,3466.08,-0.43
20101025,3481.35,3366.43,3481.08,3.03
